split,sample_index,cyclone_id,t_zero,input_start,input_end,target_start,target_end,leakage_detected,reason
train,38,2013130N04093,2013-05-15 12:00:00,2013-05-14 12:00:00,2013-05-15 12:00:00,2013-05-15 18:00:00,2013-05-16 12:00:00,False,none
train,39,2013130N04093,2013-05-15 15:00:00,2013-05-14 15:00:00,2013-05-15 15:00:00,2013-05-15 21:00:00,2013-05-16 15:00:00,False,none
train,40,2013130N04093,2013-05-15 18:00:00,2013-05-14 18:00:00,2013-05-15 18:00:00,2013-05-16 00:00:00,2013-05-16 18:00:00,False,none
train,41,2013281N12098,2013-10-08 12:00:00,2013-10-07 12:00:00,2013-10-08 12:00:00,2013-10-08 18:00:00,2013-10-09 12:00:00,False,none
train,42,2013281N12098,2013-10-08 15:00:00,2013-10-07 15:00:00,2013-10-08 15:00:00,2013-10-08 21:00:00,2013-10-09 15:00:00,False,none
train,43,2013281N12098,2013-10-08 18:00:00,2013-10-07 18:00:00,2013-10-08 18:00:00,2013-10-09 00:00:00,2013-10-09 18:00:00,False,none
train,44,2013281N12098,2013-10-08 21:00:00,2013-10-07 21:00:00,2013-10-08 21:00:00,2013-10-09 03:00:00,2013-10-09 21:00:00,False,none
train,45,2013281N12098,2013-10-09 00:00:00,2013-10-08 00:00:00,2013-10-09 00:00:00,2013-10-09 06:00:00,2013-10-10 00:00:00,False,none
train,46,2013281N12098,2013-10-09 03:00:00,2013-10-08 03:00:00,2013-10-09 03:00:00,2013-10-09 09:00:00,2013-10-10 03:00:00,False,none
train,47,2013281N12098,2013-10-09 06:00:00,2013-10-08 06:00:00,2013-10-09 06:00:00,2013-10-09 12:00:00,2013-10-10 06:00:00,False,none
train,48,2013281N12098,2013-10-09 09:00:00,2013-10-08 09:00:00,2013-10-09 09:00:00,2013-10-09 15:00:00,2013-10-10 09:00:00,False,none
train,49,2013281N12098,2013-10-09 12:00:00,2013-10-08 12:00:00,2013-10-09 12:00:00,2013-10-09 18:00:00,2013-10-10 12:00:00,False,none
train,50,2013281N12098,2013-10-09 15:00:00,2013-10-08 15:00:00,2013-10-09 15:00:00,2013-10-09 21:00:00,2013-10-10 15:00:00,False,none
train,51,2013281N12098,2013-10-09 18:00:00,2013-10-08 18:00:00,2013-10-09 18:00:00,2013-10-10 00:00:00,2013-10-10 18:00:00,False,none
train,52,2013281N12098,2013-10-09 21:00:00,2013-10-08 21:00:00,2013-10-09 21:00:00,2013-10-10 03:00:00,2013-10-10 21:00:00,False,none
train,53,2013281N12098,2013-10-10 00:00:00,2013-10-09 00:00:00,2013-10-10 00:00:00,2013-10-10 06:00:00,2013-10-11 00:00:00,False,none
train,54,2013281N12098,2013-10-10 03:00:00,2013-10-09 03:00:00,2013-10-10 03:00:00,2013-10-10 09:00:00,2013-10-11 03:00:00,False,none
train,55,2013281N12098,2013-10-10 06:00:00,2013-10-09 06:00:00,2013-10-10 06:00:00,2013-10-10 12:00:00,2013-10-11 06:00:00,False,none
train,56,2013281N12098,2013-10-10 09:00:00,2013-10-09 09:00:00,2013-10-10 09:00:00,2013-10-10 15:00:00,2013-10-11 09:00:00,False,none
train,57,2013281N12098,2013-10-10 12:00:00,2013-10-09 12:00:00,2013-10-10 12:00:00,2013-10-10 18:00:00,2013-10-11 12:00:00,False,none
train,58,2013281N12098,2013-10-10 15:00:00,2013-10-09 15:00:00,2013-10-10 15:00:00,2013-10-10 21:00:00,2013-10-11 15:00:00,False,none
train,59,2013281N12098,2013-10-10 18:00:00,2013-10-09 18:00:00,2013-10-10 18:00:00,2013-10-11 00:00:00,2013-10-11 18:00:00,False,none
train,60,2013281N12098,2013-10-10 21:00:00,2013-10-09 21:00:00,2013-10-10 21:00:00,2013-10-11 03:00:00,2013-10-11 21:00:00,False,none
train,61,2013281N12098,2013-10-11 00:00:00,2013-10-10 00:00:00,2013-10-11 00:00:00,2013-10-11 06:00:00,2013-10-12 00:00:00,False,none
train,62,2013281N12098,2013-10-11 03:00:00,2013-10-10 03:00:00,2013-10-11 03:00:00,2013-10-11 09:00:00,2013-10-12 03:00:00,False,none
train,63,2013281N12098,2013-10-11 06:00:00,2013-10-10 06:00:00,2013-10-11 06:00:00,2013-10-11 12:00:00,2013-10-12 06:00:00,False,none
train,64,2013281N12098,2013-10-11 09:00:00,2013-10-10 09:00:00,2013-10-11 09:00:00,2013-10-11 15:00:00,2013-10-12 09:00:00,False,none
train,65,2013281N12098,2013-10-11 12:00:00,2013-10-10 12:00:00,2013-10-11 12:00:00,2013-10-11 18:00:00,2013-10-12 12:00:00,False,none
train,66,2013281N12098,2013-10-11 15:00:00,2013-10-10 15:00:00,2013-10-11 15:00:00,2013-10-11 21:00:00,2013-10-12 15:00:00,False,none
train,67,2013281N12098,2013-10-11 18:00:00,2013-10-10 18:00:00,2013-10-11 18:00:00,2013-10-12 00:00:00,2013-10-12 18:00:00,False,none
train,68,2013281N12098,2013-10-11 21:00:00,2013-10-10 21:00:00,2013-10-11 21:00:00,2013-10-12 03:00:00,2013-10-12 21:00:00,False,none
train,69,2013281N12098,2013-10-12 00:00:00,2013-10-11 00:00:00,2013-10-12 00:00:00,2013-10-12 06:00:00,2013-10-13 00:00:00,False,none
train,70,2013281N12098,2013-10-12 03:00:00,2013-10-11 03:00:00,2013-10-12 03:00:00,2013-10-12 09:00:00,2013-10-13 03:00:00,False,none
train,71,2013281N12098,2013-10-12 06:00:00,2013-10-11 06:00:00,2013-10-12 06:00:00,2013-10-12 12:00:00,2013-10-13 06:00:00,False,none
train,72,2013281N12098,2013-10-12 09:00:00,2013-10-11 09:00:00,2013-10-12 09:00:00,2013-10-12 15:00:00,2013-10-13 09:00:00,False,none
train,73,2013281N12098,2013-10-12 12:00:00,2013-10-11 12:00:00,2013-10-12 12:00:00,2013-10-12 18:00:00,2013-10-13 12:00:00,False,none
train,74,2013281N12098,2013-10-12 15:00:00,2013-10-11 15:00:00,2013-10-12 15:00:00,2013-10-12 21:00:00,2013-10-13 15:00:00,False,none
train,75,2013281N12098,2013-10-12 18:00:00,2013-10-11 18:00:00,2013-10-12 18:00:00,2013-10-13 00:00:00,2013-10-13 18:00:00,False,none
train,76,2013281N12098,2013-10-12 21:00:00,2013-10-11 21:00:00,2013-10-12 21:00:00,2013-10-13 03:00:00,2013-10-13 21:00:00,False,none
train,77,2013281N12098,2013-10-13 00:00:00,2013-10-12 00:00:00,2013-10-13 00:00:00,2013-10-13 06:00:00,2013-10-14 00:00:00,False,none
train,78,2013281N12098,2013-10-13 03:00:00,2013-10-12 03:00:00,2013-10-13 03:00:00,2013-10-13 09:00:00,2013-10-14 03:00:00,False,none
train,79,2013281N12098,2013-10-13 06:00:00,2013-10-12 06:00:00,2013-10-13 06:00:00,2013-10-13 12:00:00,2013-10-14 06:00:00,False,none
train,80,2013305N07141,2013-11-02 06:00:00,2013-11-01 06:00:00,2013-11-02 06:00:00,2013-11-02 12:00:00,2013-11-03 06:00:00,False,none
train,81,2013305N07141,2013-11-02 09:00:00,2013-11-01 09:00:00,2013-11-02 09:00:00,2013-11-02 15:00:00,2013-11-03 09:00:00,False,none
train,82,2013305N07141,2013-11-02 12:00:00,2013-11-01 12:00:00,2013-11-02 12:00:00,2013-11-02 18:00:00,2013-11-03 12:00:00,False,none
train,83,2013305N07141,2013-11-02 15:00:00,2013-11-01 15:00:00,2013-11-02 15:00:00,2013-11-02 21:00:00,2013-11-03 15:00:00,False,none
train,84,2013305N07141,2013-11-02 18:00:00,2013-11-01 18:00:00,2013-11-02 18:00:00,2013-11-03 00:00:00,2013-11-03 18:00:00,False,none
train,85,2013305N07141,2013-11-02 21:00:00,2013-11-01 21:00:00,2013-11-02 21:00:00,2013-11-03 03:00:00,2013-11-03 21:00:00,False,none
train,86,2013305N07141,2013-11-03 00:00:00,2013-11-02 00:00:00,2013-11-03 00:00:00,2013-11-03 06:00:00,2013-11-04 00:00:00,False,none
train,87,2013305N07141,2013-11-03 03:00:00,2013-11-02 03:00:00,2013-11-03 03:00:00,2013-11-03 09:00:00,2013-11-04 03:00:00,False,none
train,88,2013305N07141,2013-11-03 06:00:00,2013-11-02 06:00:00,2013-11-03 06:00:00,2013-11-03 12:00:00,2013-11-04 06:00:00,False,none
train,89,2013305N07141,2013-11-03 09:00:00,2013-11-02 09:00:00,2013-11-03 09:00:00,2013-11-03 15:00:00,2013-11-04 09:00:00,False,none
train,90,2013305N07141,2013-11-03 12:00:00,2013-11-02 12:00:00,2013-11-03 12:00:00,2013-11-03 18:00:00,2013-11-04 12:00:00,False,none
train,91,2013305N07141,2013-11-03 15:00:00,2013-11-02 15:00:00,2013-11-03 15:00:00,2013-11-03 21:00:00,2013-11-04 15:00:00,False,none
train,92,2013305N07141,2013-11-03 18:00:00,2013-11-02 18:00:00,2013-11-03 18:00:00,2013-11-04 00:00:00,2013-11-04 18:00:00,False,none
train,93,2013305N07141,2013-11-03 21:00:00,2013-11-02 21:00:00,2013-11-03 21:00:00,2013-11-04 03:00:00,2013-11-04 21:00:00,False,none
train,94,2013305N07141,2013-11-04 00:00:00,2013-11-03 00:00:00,2013-11-04 00:00:00,2013-11-04 06:00:00,2013-11-05 00:00:00,False,none
train,95,2013305N07141,2013-11-04 03:00:00,2013-11-03 03:00:00,2013-11-04 03:00:00,2013-11-04 09:00:00,2013-11-05 03:00:00,False,none
train,96,2013305N07141,2013-11-04 06:00:00,2013-11-03 06:00:00,2013-11-04 06:00:00,2013-11-04 12:00:00,2013-11-05 06:00:00,False,none
train,97,2013305N07141,2013-11-04 09:00:00,2013-11-03 09:00:00,2013-11-04 09:00:00,2013-11-04 15:00:00,2013-11-05 09:00:00,False,none
train,98,2013305N07141,2013-11-04 12:00:00,2013-11-03 12:00:00,2013-11-04 12:00:00,2013-11-04 18:00:00,2013-11-05 12:00:00,False,none
train,99,2013305N07141,2013-11-04 15:00:00,2013-11-03 15:00:00,2013-11-04 15:00:00,2013-11-04 21:00:00,2013-11-05 15:00:00,False,none
train,100,2013305N07141,2013-11-04 18:00:00,2013-11-03 18:00:00,2013-11-04 18:00:00,2013-11-05 00:00:00,2013-11-05 18:00:00,False,none
train,101,2013305N07141,2013-11-04 21:00:00,2013-11-03 21:00:00,2013-11-04 21:00:00,2013-11-05 03:00:00,2013-11-05 21:00:00,False,none
train,102,2013305N07141,2013-11-05 00:00:00,2013-11-04 00:00:00,2013-11-05 00:00:00,2013-11-05 06:00:00,2013-11-06 00:00:00,False,none
train,103,2013305N07141,2013-11-05 03:00:00,2013-11-04 03:00:00,2013-11-05 03:00:00,2013-11-05 09:00:00,2013-11-06 03:00:00,False,none
train,104,2013305N07141,2013-11-05 06:00:00,2013-11-04 06:00:00,2013-11-05 06:00:00,2013-11-05 12:00:00,2013-11-06 06:00:00,False,none
train,105,2013305N07141,2013-11-05 09:00:00,2013-11-04 09:00:00,2013-11-05 09:00:00,2013-11-05 15:00:00,2013-11-06 09:00:00,False,none
train,106,2013305N07141,2013-11-05 12:00:00,2013-11-04 12:00:00,2013-11-05 12:00:00,2013-11-05 18:00:00,2013-11-06 12:00:00,False,none
train,107,2013305N07141,2013-11-05 15:00:00,2013-11-04 15:00:00,2013-11-05 15:00:00,2013-11-05 21:00:00,2013-11-06 15:00:00,False,none
train,108,2013305N07141,2013-11-05 18:00:00,2013-11-04 18:00:00,2013-11-05 18:00:00,2013-11-06 00:00:00,2013-11-06 18:00:00,False,none
train,109,2013305N07141,2013-11-05 21:00:00,2013-11-04 21:00:00,2013-11-05 21:00:00,2013-11-06 03:00:00,2013-11-06 21:00:00,False,none
train,110,2013305N07141,2013-11-06 00:00:00,2013-11-05 00:00:00,2013-11-06 00:00:00,2013-11-06 06:00:00,2013-11-07 00:00:00,False,none
train,111,2013305N07141,2013-11-06 03:00:00,2013-11-05 03:00:00,2013-11-06 03:00:00,2013-11-06 09:00:00,2013-11-07 03:00:00,False,none
train,112,2013305N07141,2013-11-06 06:00:00,2013-11-05 06:00:00,2013-11-06 06:00:00,2013-11-06 12:00:00,2013-11-07 06:00:00,False,none
train,113,2013305N07141,2013-11-06 09:00:00,2013-11-05 09:00:00,2013-11-06 09:00:00,2013-11-06 15:00:00,2013-11-07 09:00:00,False,none
train,114,2013305N07141,2013-11-06 12:00:00,2013-11-05 12:00:00,2013-11-06 12:00:00,2013-11-06 18:00:00,2013-11-07 12:00:00,False,none
train,115,2013305N07141,2013-11-06 15:00:00,2013-11-05 15:00:00,2013-11-06 15:00:00,2013-11-06 21:00:00,2013-11-07 15:00:00,False,none
train,116,2013305N07141,2013-11-06 18:00:00,2013-11-05 18:00:00,2013-11-06 18:00:00,2013-11-07 00:00:00,2013-11-07 18:00:00,False,none
train,117,2013305N07141,2013-11-06 21:00:00,2013-11-05 21:00:00,2013-11-06 21:00:00,2013-11-07 03:00:00,2013-11-07 21:00:00,False,none
train,118,2013305N07141,2013-11-07 00:00:00,2013-11-06 00:00:00,2013-11-07 00:00:00,2013-11-07 06:00:00,2013-11-08 00:00:00,False,none
train,119,2013305N07141,2013-11-07 03:00:00,2013-11-06 03:00:00,2013-11-07 03:00:00,2013-11-07 09:00:00,2013-11-08 03:00:00,False,none
train,120,2013305N07141,2013-11-07 06:00:00,2013-11-06 06:00:00,2013-11-07 06:00:00,2013-11-07 12:00:00,2013-11-08 06:00:00,False,none
train,121,2013305N07141,2013-11-07 09:00:00,2013-11-06 09:00:00,2013-11-07 09:00:00,2013-11-07 15:00:00,2013-11-08 09:00:00,False,none
train,122,2013305N07141,2013-11-07 12:00:00,2013-11-06 12:00:00,2013-11-07 12:00:00,2013-11-07 18:00:00,2013-11-08 12:00:00,False,none
train,123,2013305N07141,2013-11-07 15:00:00,2013-11-06 15:00:00,2013-11-07 15:00:00,2013-11-07 21:00:00,2013-11-08 15:00:00,False,none
train,124,2013305N07141,2013-11-07 18:00:00,2013-11-06 18:00:00,2013-11-07 18:00:00,2013-11-08 00:00:00,2013-11-08 18:00:00,False,none
train,125,2013305N07141,2013-11-07 21:00:00,2013-11-06 21:00:00,2013-11-07 21:00:00,2013-11-08 03:00:00,2013-11-08 21:00:00,False,none
train,126,2013305N07141,2013-11-08 00:00:00,2013-11-07 00:00:00,2013-11-08 00:00:00,2013-11-08 06:00:00,2013-11-09 00:00:00,False,none
train,127,2013305N07141,2013-11-08 03:00:00,2013-11-07 03:00:00,2013-11-08 03:00:00,2013-11-08 09:00:00,2013-11-09 03:00:00,False,none
train,128,2013305N07141,2013-11-08 06:00:00,2013-11-07 06:00:00,2013-11-08 06:00:00,2013-11-08 12:00:00,2013-11-09 06:00:00,False,none
train,129,2013305N07141,2013-11-08 09:00:00,2013-11-07 09:00:00,2013-11-08 09:00:00,2013-11-08 15:00:00,2013-11-09 09:00:00,False,none
train,130,2013305N07141,2013-11-08 12:00:00,2013-11-07 12:00:00,2013-11-08 12:00:00,2013-11-08 18:00:00,2013-11-09 12:00:00,False,none
train,131,2013305N07141,2013-11-08 15:00:00,2013-11-07 15:00:00,2013-11-08 15:00:00,2013-11-08 21:00:00,2013-11-09 15:00:00,False,none
train,132,2013305N07141,2013-11-08 18:00:00,2013-11-07 18:00:00,2013-11-08 18:00:00,2013-11-09 00:00:00,2013-11-09 18:00:00,False,none
train,133,2013305N07141,2013-11-08 21:00:00,2013-11-07 21:00:00,2013-11-08 21:00:00,2013-11-09 03:00:00,2013-11-09 21:00:00,False,none
train,134,2013305N07141,2013-11-09 00:00:00,2013-11-08 00:00:00,2013-11-09 00:00:00,2013-11-09 06:00:00,2013-11-10 00:00:00,False,none
train,135,2013305N07141,2013-11-09 03:00:00,2013-11-08 03:00:00,2013-11-09 03:00:00,2013-11-09 09:00:00,2013-11-10 03:00:00,False,none
train,136,2013305N07141,2013-11-09 06:00:00,2013-11-08 06:00:00,2013-11-09 06:00:00,2013-11-09 12:00:00,2013-11-10 06:00:00,False,none
train,137,2013305N07141,2013-11-09 09:00:00,2013-11-08 09:00:00,2013-11-09 09:00:00,2013-11-09 15:00:00,2013-11-10 09:00:00,False,none
train,138,2013305N07141,2013-11-09 12:00:00,2013-11-08 12:00:00,2013-11-09 12:00:00,2013-11-09 18:00:00,2013-11-10 12:00:00,False,none
train,139,2013305N07141,2013-11-09 15:00:00,2013-11-08 15:00:00,2013-11-09 15:00:00,2013-11-09 21:00:00,2013-11-10 15:00:00,False,none
train,140,2013305N07141,2013-11-09 18:00:00,2013-11-08 18:00:00,2013-11-09 18:00:00,2013-11-10 00:00:00,2013-11-10 18:00:00,False,none
train,141,2013305N07141,2013-11-09 21:00:00,2013-11-08 21:00:00,2013-11-09 21:00:00,2013-11-10 03:00:00,2013-11-10 21:00:00,False,none
train,142,2013305N07141,2013-11-10 00:00:00,2013-11-09 00:00:00,2013-11-10 00:00:00,2013-11-10 06:00:00,2013-11-11 00:00:00,False,none
train,143,2013305N07141,2013-11-10 03:00:00,2013-11-09 03:00:00,2013-11-10 03:00:00,2013-11-10 09:00:00,2013-11-11 03:00:00,False,none
train,144,2013305N07141,2013-11-10 06:00:00,2013-11-09 06:00:00,2013-11-10 06:00:00,2013-11-10 12:00:00,2013-11-11 06:00:00,False,none
train,145,2013305N07141,2013-11-10 09:00:00,2013-11-09 09:00:00,2013-11-10 09:00:00,2013-11-10 15:00:00,2013-11-11 09:00:00,False,none
train,146,2013305N07141,2013-11-10 12:00:00,2013-11-09 12:00:00,2013-11-10 12:00:00,2013-11-10 18:00:00,2013-11-11 12:00:00,False,none
train,147,2013305N07141,2013-11-10 15:00:00,2013-11-09 15:00:00,2013-11-10 15:00:00,2013-11-10 21:00:00,2013-11-11 15:00:00,False,none
train,148,2013305N07141,2013-11-10 18:00:00,2013-11-09 18:00:00,2013-11-10 18:00:00,2013-11-11 00:00:00,2013-11-11 18:00:00,False,none
train,149,2013305N07141,2013-11-10 21:00:00,2013-11-09 21:00:00,2013-11-10 21:00:00,2013-11-11 03:00:00,2013-11-11 21:00:00,False,none
train,150,2013305N07141,2013-11-11 00:00:00,2013-11-10 00:00:00,2013-11-11 00:00:00,2013-11-11 06:00:00,2013-11-12 00:00:00,False,none
train,151,2013305N07141,2013-11-11 03:00:00,2013-11-10 03:00:00,2013-11-11 03:00:00,2013-11-11 09:00:00,2013-11-12 03:00:00,False,none
train,152,2013305N07141,2013-11-11 06:00:00,2013-11-10 06:00:00,2013-11-11 06:00:00,2013-11-11 12:00:00,2013-11-12 06:00:00,False,none
train,153,2013305N07141,2013-11-11 09:00:00,2013-11-10 09:00:00,2013-11-11 09:00:00,2013-11-11 15:00:00,2013-11-12 09:00:00,False,none
train,154,2013305N07141,2013-11-11 12:00:00,2013-11-10 12:00:00,2013-11-11 12:00:00,2013-11-11 18:00:00,2013-11-12 12:00:00,False,none
train,155,2013305N07141,2013-11-11 15:00:00,2013-11-10 15:00:00,2013-11-11 15:00:00,2013-11-11 21:00:00,2013-11-12 15:00:00,False,none
train,156,2013305N07141,2013-11-11 18:00:00,2013-11-10 18:00:00,2013-11-11 18:00:00,2013-11-12 00:00:00,2013-11-12 18:00:00,False,none
train,157,2013305N07141,2013-11-11 21:00:00,2013-11-10 21:00:00,2013-11-11 21:00:00,2013-11-12 03:00:00,2013-11-12 21:00:00,False,none
train,158,2013305N07141,2013-11-12 00:00:00,2013-11-11 00:00:00,2013-11-12 00:00:00,2013-11-12 06:00:00,2013-11-13 00:00:00,False,none
train,159,2013305N07141,2013-11-12 03:00:00,2013-11-11 03:00:00,2013-11-12 03:00:00,2013-11-12 09:00:00,2013-11-13 03:00:00,False,none
train,160,2013305N07141,2013-11-12 06:00:00,2013-11-11 06:00:00,2013-11-12 06:00:00,2013-11-12 12:00:00,2013-11-13 06:00:00,False,none
train,161,2013305N07141,2013-11-12 09:00:00,2013-11-11 09:00:00,2013-11-12 09:00:00,2013-11-12 15:00:00,2013-11-13 09:00:00,False,none
train,162,2013305N07141,2013-11-12 12:00:00,2013-11-11 12:00:00,2013-11-12 12:00:00,2013-11-12 18:00:00,2013-11-13 12:00:00,False,none
train,163,2013305N07141,2013-11-12 15:00:00,2013-11-11 15:00:00,2013-11-12 15:00:00,2013-11-12 21:00:00,2013-11-13 15:00:00,False,none
train,164,2013305N07141,2013-11-12 18:00:00,2013-11-11 18:00:00,2013-11-12 18:00:00,2013-11-13 00:00:00,2013-11-13 18:00:00,False,none
train,165,2013305N07141,2013-11-12 21:00:00,2013-11-11 21:00:00,2013-11-12 21:00:00,2013-11-13 03:00:00,2013-11-13 21:00:00,False,none
train,166,2013305N07141,2013-11-13 00:00:00,2013-11-12 00:00:00,2013-11-13 00:00:00,2013-11-13 06:00:00,2013-11-14 00:00:00,False,none
train,167,2013305N07141,2013-11-13 03:00:00,2013-11-12 03:00:00,2013-11-13 03:00:00,2013-11-13 09:00:00,2013-11-14 03:00:00,False,none
train,168,2013305N07141,2013-11-13 06:00:00,2013-11-12 06:00:00,2013-11-13 06:00:00,2013-11-13 12:00:00,2013-11-14 06:00:00,False,none
train,169,2013305N07141,2013-11-13 09:00:00,2013-11-12 09:00:00,2013-11-13 09:00:00,2013-11-13 15:00:00,2013-11-14 09:00:00,False,none
train,170,2013305N07141,2013-11-13 12:00:00,2013-11-12 12:00:00,2013-11-13 12:00:00,2013-11-13 18:00:00,2013-11-14 12:00:00,False,none
train,171,2013305N07141,2013-11-13 15:00:00,2013-11-12 15:00:00,2013-11-13 15:00:00,2013-11-13 21:00:00,2013-11-14 15:00:00,False,none
train,172,2013305N07141,2013-11-13 18:00:00,2013-11-12 18:00:00,2013-11-13 18:00:00,2013-11-14 00:00:00,2013-11-14 18:00:00,False,none
