sample_id,SID,input_start_time,input_end_time,target_6h_time,target_12h_time,target_24h_time
106,1982239N19089,1982-08-27 21:00:00,1982-08-28 21:00:00,1982-08-29 03:00:00,1982-08-29 09:00:00,1982-08-29 21:00:00
107,1982239N19089,1982-08-28 00:00:00,1982-08-29 00:00:00,1982-08-29 06:00:00,1982-08-29 12:00:00,1982-08-30 00:00:00
108,1982239N19089,1982-08-28 03:00:00,1982-08-29 03:00:00,1982-08-29 09:00:00,1982-08-29 15:00:00,1982-08-30 03:00:00
109,1982239N19089,1982-08-28 06:00:00,1982-08-29 06:00:00,1982-08-29 12:00:00,1982-08-29 18:00:00,1982-08-30 06:00:00
110,1982239N19089,1982-08-28 09:00:00,1982-08-29 09:00:00,1982-08-29 15:00:00,1982-08-29 21:00:00,1982-08-30 09:00:00
111,1982239N19089,1982-08-28 12:00:00,1982-08-29 12:00:00,1982-08-29 18:00:00,1982-08-30 00:00:00,1982-08-30 12:00:00
112,1982239N19089,1982-08-28 15:00:00,1982-08-29 15:00:00,1982-08-29 21:00:00,1982-08-30 03:00:00,1982-08-30 15:00:00
113,1982239N19089,1982-08-28 18:00:00,1982-08-29 18:00:00,1982-08-30 00:00:00,1982-08-30 06:00:00,1982-08-30 18:00:00
114,1982239N19089,1982-08-28 21:00:00,1982-08-29 21:00:00,1982-08-30 03:00:00,1982-08-30 09:00:00,1982-08-30 21:00:00
115,1982239N19089,1982-08-29 00:00:00,1982-08-30 00:00:00,1982-08-30 06:00:00,1982-08-30 12:00:00,1982-08-31 00:00:00
116,1982239N19089,1982-08-29 03:00:00,1982-08-30 03:00:00,1982-08-30 09:00:00,1982-08-30 15:00:00,1982-08-31 03:00:00
117,1982239N19089,1982-08-29 06:00:00,1982-08-30 06:00:00,1982-08-30 12:00:00,1982-08-30 18:00:00,1982-08-31 06:00:00
118,1982239N19089,1982-08-29 09:00:00,1982-08-30 09:00:00,1982-08-30 15:00:00,1982-08-30 21:00:00,1982-08-31 09:00:00
119,1982239N19089,1982-08-29 12:00:00,1982-08-30 12:00:00,1982-08-30 18:00:00,1982-08-31 00:00:00,1982-08-31 12:00:00
120,1982239N19089,1982-08-29 15:00:00,1982-08-30 15:00:00,1982-08-30 21:00:00,1982-08-31 03:00:00,1982-08-31 15:00:00
121,1982239N19089,1982-08-29 18:00:00,1982-08-30 18:00:00,1982-08-31 00:00:00,1982-08-31 06:00:00,1982-08-31 18:00:00
122,1982239N19089,1982-08-29 21:00:00,1982-08-30 21:00:00,1982-08-31 03:00:00,1982-08-31 09:00:00,1982-08-31 21:00:00
123,1982239N19089,1982-08-30 00:00:00,1982-08-31 00:00:00,1982-08-31 06:00:00,1982-08-31 12:00:00,1982-09-01 00:00:00
124,1982239N19089,1982-08-30 03:00:00,1982-08-31 03:00:00,1982-08-31 09:00:00,1982-08-31 15:00:00,1982-09-01 03:00:00
125,1982239N19089,1982-08-30 06:00:00,1982-08-31 06:00:00,1982-08-31 12:00:00,1982-08-31 18:00:00,1982-09-01 06:00:00
126,1982239N19089,1982-08-30 09:00:00,1982-08-31 09:00:00,1982-08-31 15:00:00,1982-08-31 21:00:00,1982-09-01 09:00:00
127,1982239N19089,1982-08-30 12:00:00,1982-08-31 12:00:00,1982-08-31 18:00:00,1982-09-01 00:00:00,1982-09-01 12:00:00
128,1982239N19089,1982-08-30 15:00:00,1982-08-31 15:00:00,1982-08-31 21:00:00,1982-09-01 03:00:00,1982-09-01 15:00:00
129,1982239N19089,1982-08-30 18:00:00,1982-08-31 18:00:00,1982-09-01 00:00:00,1982-09-01 06:00:00,1982-09-01 18:00:00
130,1982239N19089,1982-08-30 21:00:00,1982-08-31 21:00:00,1982-09-01 03:00:00,1982-09-01 09:00:00,1982-09-01 21:00:00
131,1982239N19089,1982-08-31 00:00:00,1982-09-01 00:00:00,1982-09-01 06:00:00,1982-09-01 12:00:00,1982-09-02 00:00:00
132,1982239N19089,1982-08-31 03:00:00,1982-09-01 03:00:00,1982-09-01 09:00:00,1982-09-01 15:00:00,1982-09-02 03:00:00
133,1982239N19089,1982-08-31 06:00:00,1982-09-01 06:00:00,1982-09-01 12:00:00,1982-09-01 18:00:00,1982-09-02 06:00:00
134,1982239N19089,1982-08-31 09:00:00,1982-09-01 09:00:00,1982-09-01 15:00:00,1982-09-01 21:00:00,1982-09-02 09:00:00
135,1982239N19089,1982-08-31 12:00:00,1982-09-01 12:00:00,1982-09-01 18:00:00,1982-09-02 00:00:00,1982-09-02 12:00:00
136,1982290N09084,1982-10-19 03:00:00,1982-10-20 03:00:00,1982-10-20 09:00:00,1982-10-20 15:00:00,1982-10-21 03:00:00
137,1982290N09084,1982-10-19 06:00:00,1982-10-20 06:00:00,1982-10-20 12:00:00,1982-10-20 18:00:00,1982-10-21 06:00:00
138,1982290N09084,1982-10-19 09:00:00,1982-10-20 09:00:00,1982-10-20 15:00:00,1982-10-20 21:00:00,1982-10-21 09:00:00
139,1982290N09084,1982-10-19 12:00:00,1982-10-20 12:00:00,1982-10-20 18:00:00,1982-10-21 00:00:00,1982-10-21 12:00:00
140,1983171N20071,1983-06-20 03:00:00,1983-06-21 03:00:00,1983-06-21 09:00:00,1983-06-21 15:00:00,1983-06-22 03:00:00
141,1983171N20071,1983-06-20 06:00:00,1983-06-21 06:00:00,1983-06-21 12:00:00,1983-06-21 18:00:00,1983-06-22 06:00:00
142,1983171N20071,1983-06-20 09:00:00,1983-06-21 09:00:00,1983-06-21 15:00:00,1983-06-21 21:00:00,1983-06-22 09:00:00
143,1983171N20071,1983-06-20 12:00:00,1983-06-21 12:00:00,1983-06-21 18:00:00,1983-06-22 00:00:00,1983-06-22 12:00:00
144,1983175N18087,1983-06-24 03:00:00,1983-06-25 03:00:00,1983-06-25 09:00:00,1983-06-25 15:00:00,1983-06-26 03:00:00
145,1983175N18087,1983-06-24 06:00:00,1983-06-25 06:00:00,1983-06-25 12:00:00,1983-06-25 18:00:00,1983-06-26 06:00:00
146,1983175N18087,1983-06-24 09:00:00,1983-06-25 09:00:00,1983-06-25 15:00:00,1983-06-25 21:00:00,1983-06-26 09:00:00
147,1983175N18087,1983-06-24 12:00:00,1983-06-25 12:00:00,1983-06-25 18:00:00,1983-06-26 00:00:00,1983-06-26 12:00:00
148,1983175N18087,1983-06-24 15:00:00,1983-06-25 15:00:00,1983-06-25 21:00:00,1983-06-26 03:00:00,1983-06-26 15:00:00
149,1983175N18087,1983-06-24 18:00:00,1983-06-25 18:00:00,1983-06-26 00:00:00,1983-06-26 06:00:00,1983-06-26 18:00:00
150,1983175N18087,1983-06-24 21:00:00,1983-06-25 21:00:00,1983-06-26 03:00:00,1983-06-26 09:00:00,1983-06-26 21:00:00
151,1983175N18087,1983-06-25 00:00:00,1983-06-26 00:00:00,1983-06-26 06:00:00,1983-06-26 12:00:00,1983-06-27 00:00:00
152,1983175N18087,1983-06-25 03:00:00,1983-06-26 03:00:00,1983-06-26 09:00:00,1983-06-26 15:00:00,1983-06-27 03:00:00
153,1983175N18087,1983-06-25 06:00:00,1983-06-26 06:00:00,1983-06-26 12:00:00,1983-06-26 18:00:00,1983-06-27 06:00:00
154,1983175N18087,1983-06-25 09:00:00,1983-06-26 09:00:00,1983-06-26 15:00:00,1983-06-26 21:00:00,1983-06-27 09:00:00
155,1983175N18087,1983-06-25 12:00:00,1983-06-26 12:00:00,1983-06-26 18:00:00,1983-06-27 00:00:00,1983-06-27 12:00:00
156,1983216N23088,1983-08-04 00:00:00,1983-08-05 00:00:00,1983-08-05 06:00:00,1983-08-05 12:00:00,1983-08-06 00:00:00
157,1983216N23088,1983-08-04 03:00:00,1983-08-05 03:00:00,1983-08-05 09:00:00,1983-08-05 15:00:00,1983-08-06 03:00:00
158,1983216N23088,1983-08-04 06:00:00,1983-08-05 06:00:00,1983-08-05 12:00:00,1983-08-05 18:00:00,1983-08-06 06:00:00
159,1983216N23088,1983-08-04 09:00:00,1983-08-05 09:00:00,1983-08-05 15:00:00,1983-08-05 21:00:00,1983-08-06 09:00:00
160,1983216N23088,1983-08-04 12:00:00,1983-08-05 12:00:00,1983-08-05 18:00:00,1983-08-06 00:00:00,1983-08-06 12:00:00
161,1983216N23088,1983-08-04 15:00:00,1983-08-05 15:00:00,1983-08-05 21:00:00,1983-08-06 03:00:00,1983-08-06 15:00:00
162,1983216N23088,1983-08-04 18:00:00,1983-08-05 18:00:00,1983-08-06 00:00:00,1983-08-06 06:00:00,1983-08-06 18:00:00
163,1983216N23088,1983-08-04 21:00:00,1983-08-05 21:00:00,1983-08-06 03:00:00,1983-08-06 09:00:00,1983-08-06 21:00:00
164,1983216N23088,1983-08-05 00:00:00,1983-08-06 00:00:00,1983-08-06 06:00:00,1983-08-06 12:00:00,1983-08-07 00:00:00
165,1983216N23088,1983-08-05 03:00:00,1983-08-06 03:00:00,1983-08-06 09:00:00,1983-08-06 15:00:00,1983-08-07 03:00:00
166,1983216N23088,1983-08-05 06:00:00,1983-08-06 06:00:00,1983-08-06 12:00:00,1983-08-06 18:00:00,1983-08-07 06:00:00
167,1983216N23088,1983-08-05 09:00:00,1983-08-06 09:00:00,1983-08-06 15:00:00,1983-08-06 21:00:00,1983-08-07 09:00:00
168,1983216N23088,1983-08-05 12:00:00,1983-08-06 12:00:00,1983-08-06 18:00:00,1983-08-07 00:00:00,1983-08-07 12:00:00
169,1983216N23088,1983-08-05 15:00:00,1983-08-06 15:00:00,1983-08-06 21:00:00,1983-08-07 03:00:00,1983-08-07 15:00:00
170,1983216N23088,1983-08-05 18:00:00,1983-08-06 18:00:00,1983-08-07 00:00:00,1983-08-07 06:00:00,1983-08-07 18:00:00
171,1983216N23088,1983-08-05 21:00:00,1983-08-06 21:00:00,1983-08-07 03:00:00,1983-08-07 09:00:00,1983-08-07 21:00:00
172,1983216N23088,1983-08-06 00:00:00,1983-08-07 00:00:00,1983-08-07 06:00:00,1983-08-07 12:00:00,1983-08-08 00:00:00
173,1983216N23088,1983-08-06 03:00:00,1983-08-07 03:00:00,1983-08-07 09:00:00,1983-08-07 15:00:00,1983-08-08 03:00:00
174,1983216N23088,1983-08-06 06:00:00,1983-08-07 06:00:00,1983-08-07 12:00:00,1983-08-07 18:00:00,1983-08-08 06:00:00
175,1983216N23088,1983-08-06 09:00:00,1983-08-07 09:00:00,1983-08-07 15:00:00,1983-08-07 21:00:00,1983-08-08 09:00:00
176,1983216N23088,1983-08-06 12:00:00,1983-08-07 12:00:00,1983-08-07 18:00:00,1983-08-08 00:00:00,1983-08-08 12:00:00
177,1983216N23088,1983-08-06 15:00:00,1983-08-07 15:00:00,1983-08-07 21:00:00,1983-08-08 03:00:00,1983-08-08 15:00:00
178,1983216N23088,1983-08-06 18:00:00,1983-08-07 18:00:00,1983-08-08 00:00:00,1983-08-08 06:00:00,1983-08-08 18:00:00
179,1983216N23088,1983-08-06 21:00:00,1983-08-07 21:00:00,1983-08-08 03:00:00,1983-08-08 09:00:00,1983-08-08 21:00:00
180,1983216N23088,1983-08-07 00:00:00,1983-08-08 00:00:00,1983-08-08 06:00:00,1983-08-08 12:00:00,1983-08-09 00:00:00
181,1983216N23088,1983-08-07 03:00:00,1983-08-08 03:00:00,1983-08-08 09:00:00,1983-08-08 15:00:00,1983-08-09 03:00:00
182,1983216N23088,1983-08-07 06:00:00,1983-08-08 06:00:00,1983-08-08 12:00:00,1983-08-08 18:00:00,1983-08-09 06:00:00
183,1983216N23088,1983-08-07 09:00:00,1983-08-08 09:00:00,1983-08-08 15:00:00,1983-08-08 21:00:00,1983-08-09 09:00:00
184,1983216N23088,1983-08-07 12:00:00,1983-08-08 12:00:00,1983-08-08 18:00:00,1983-08-09 00:00:00,1983-08-09 12:00:00
185,1983216N23088,1983-08-07 15:00:00,1983-08-08 15:00:00,1983-08-08 21:00:00,1983-08-09 03:00:00,1983-08-09 15:00:00
186,1983216N23088,1983-08-07 18:00:00,1983-08-08 18:00:00,1983-08-09 00:00:00,1983-08-09 06:00:00,1983-08-09 18:00:00
187,1983216N23088,1983-08-07 21:00:00,1983-08-08 21:00:00,1983-08-09 03:00:00,1983-08-09 09:00:00,1983-08-09 21:00:00
