sample_id,crop_filename,crop_path,crop_sha256,source_raw_sha256,source_raw_file,cyclone_unique_id,cyclone_name,season,split,observation_timestamp_utc,matched_track_timestamp_utc,time_difference_minutes,center_latitude,center_longitude,projected_pixel_x,projected_pixel_y,projection_method,wind_speed_kmh,wind_units,intensity_category,intensity_label_source,structural_pattern,pattern_label_source,pattern_ground_truth_status,provenance_status,cyclone_detected
P7_MOSDAC_0010,p7_mosdac_UNNAMED_2019_D_0010_Depression.png,data/p2_phase7_genuine/crops\p7_mosdac_UNNAMED_2019_D_0010_Depression.png,4ae0b83213a66808de5b0fdc4d0d48d3e60046824a599179b093b9101e50170c,bd1d1c4148aff13697417b083b808c9b689cdc91566888503ca389833910f89c,27.jpeg,UNNAMED_2019_D,UNNAMED,2019,train,2019-08-06 03:00:00,2019-08-06 03:00:00,0.0,20.5,88.0,159.7,100.9,Mercator_Standard_Grid_Projection,46.3,km/h (3-minute sustained WMO/IMD standard),Depression,AUTHORITATIVE_BEST_TRACK_VMAX,shear_pattern,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0011,p7_mosdac_TAUKTAE_2021_0011_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_TAUKTAE_2021_0011_Very_Severe_Cyclonic_Storm.png,b468a6fd384d9132c821b14da1b9d562c4bb5cf6fbfc7aab9819adb306f59659,251aaaa43204482eb73f262ec78e24303c64dce6d4969f3946a0dcdb63a66bac,28.jpeg,TAUKTAE_2021,TAUKTAE,2021,val,2021-05-13 06:00:00,2021-05-13 06:00:00,0.0,10.0,70.9,96.9,143.3,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0012,p7_mosdac_YAAS_2021_0012_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_YAAS_2021_0012_Very_Severe_Cyclonic_Storm.png,c56cee568049b907c7e68abffa9b68236baf299e19677786be009d196916b902,141a0fda9906d8a60e089fe37131e6bc2248201a1faf8aed956a6e60bbb92372,30(1).jpeg,YAAS_2021,YAAS,2021,val,2021-05-23 00:00:00,2021-05-23 00:00:00,0.0,15.5,90.0,167.1,121.1,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0013,p7_mosdac_SITRANG_2022_0013_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_SITRANG_2022_0013_Very_Severe_Cyclonic_Storm.png,4b9e67287525a100743dbea0de9c1f39b49fef1329c78e29ecdc19b7922724b4,73f3ba1d51f6fd1e97e53c6c73fe958f20297379774dfbeaa76c3a2ed1a58bc0,30.jpeg,SITRANG_2022,SITRANG,2022,val,2022-10-21 18:00:00,2022-10-21 18:00:00,0.0,12.6,93.3,179.2,132.8,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0014,p7_mosdac_KYARR_2019_0014_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_KYARR_2019_0014_Very_Severe_Cyclonic_Storm.png,a7065c2c93798e6a41d5bf9b055a1bab66f766e8613aa726b30f5d9446937151,c72a9f8bbe15f708cd98caf6e412d79f1d3ae5cc9bbb1b4b6cefc9604e104ffc,31.jpeg,KYARR_2019,KYARR,2019,test,2019-04-25 18:00:00,2019-04-25 18:00:00,0.0,1.9,90.2,167.8,176.0,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0015,p7_mosdac_BIPARJOY_2023_0015_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_BIPARJOY_2023_0015_Very_Severe_Cyclonic_Storm.png,e67861f6b9afe5a53eac97b2f3c8c6e55f522338f5f4c1f847875a76438b0769,eed267b693fbee2f2292e14909b524718927db56ef9e7db22ddc4246185ad2e4,32(1).jpeg,BIPARJOY_2023,BIPARJOY,2023,test,2023-06-05 00:00:00,2023-06-05 00:00:00,0.0,10.3,66.7,81.5,142.1,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0016,p7_mosdac_ASANI_2022_0016_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_ASANI_2022_0016_Very_Severe_Cyclonic_Storm.png,d4ac4a3d6bcffdb06f4e35ec442a6c4e3d3ba4cd844bfb125259e6e07850dbe0,50e74152f460fd3456ae6fa1868de5c5e412d9a7e162e8f0ecd117de95836343,32.jpeg,ASANI_2022,ASANI,2022,test,2022-05-05 12:00:00,2022-05-05 12:00:00,0.0,7.1,94.5,183.6,155.0,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0017,p7_mosdac_UNNAMED_2021_DD_0017_Depression.png,data/p2_phase7_genuine/crops\p7_mosdac_UNNAMED_2021_DD_0017_Depression.png,df8cb1fba17cc72d65de3e628b3e9bc1c5283d6da81aafb7545ebfbc4a70c1c6,bba34447ae3dd3a2f106ade379413203250d040d6482391c80b99ce8198d3dc6,33(1).jpeg,UNNAMED_2021_DD,UNNAMED,2021,test,2021-04-02 00:00:00,2021-04-02 00:00:00,0.0,11.0,96.3,190.2,139.2,Mercator_Standard_Grid_Projection,46.3,km/h (3-minute sustained WMO/IMD standard),Depression,AUTHORITATIVE_BEST_TRACK_VMAX,shear_pattern,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0018,p7_mosdac_FANI_2019_0018_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_FANI_2019_0018_Very_Severe_Cyclonic_Storm.png,4538dcbeb577b99c4df9787dc44b4e483470972f5703ab37e623f4bab8fcd4fb,e0439ca669463b35920144f5386c3f5e7e2675de1a2d803860d0f8223491d63d,33(2).jpeg,FANI_2019,FANI,2019,train,2019-04-25 21:00:00,2019-04-25 21:00:00,0.0,2.1,90.1,167.4,175.2,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0019,p7_mosdac_AMPHAN_2020_0019_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_AMPHAN_2020_0019_Very_Severe_Cyclonic_Storm.png,5ea3dfb2d55fcb5618e24fd9bf816b59951b2b98eded0ed94b2a04133ddcb8bd,40cb0d7d6d67616a6382639c310b751f642f6c413a1360c6c65312fcab68537d,33.jpeg,AMPHAN_2020,AMPHAN,2020,train,2020-05-15 09:00:00,2020-05-15 09:00:00,0.0,9.5,87.2,156.8,145.3,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0020,p7_mosdac_HUDHUD_2014_0020_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_HUDHUD_2014_0020_Very_Severe_Cyclonic_Storm.png,3e8b8d4f04b7bbead7b49e44fe9f8f78c9c2868002e0eca9a392cf2b659d4348,383f9e89016c5ef6b9b801eae7ec4acbe2a8ddcc5acd52086b8ebf4ad5700726,34(!).jpeg,HUDHUD_2014,HUDHUD,2014,train,2014-10-06 09:00:00,2014-10-06 09:00:00,0.0,10.7,96.0,189.1,140.5,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0021,p7_mosdac_TITLI_2018_0021_Depression.png,data/p2_phase7_genuine/crops\p7_mosdac_TITLI_2018_0021_Depression.png,fb17fe7f3cba202512ee06e5370b0ba9fb39a6857e7431be5cdffe09d06f359a,4c1841d62266135cf1523d724630613e3c86aa36bda6f1c77e4719f185c1a4fe,34.jpeg,TITLI_2018,TITLI,2018,train,2018-10-08 03:00:00,2018-10-08 03:00:00,0.0,14.1,88.4,161.2,126.7,Mercator_Standard_Grid_Projection,46.3,km/h (3-minute sustained WMO/IMD standard),Depression,AUTHORITATIVE_BEST_TRACK_VMAX,shear_pattern,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0022,p7_mosdac_GAJA_2018_0022_Depression.png,data/p2_phase7_genuine/crops\p7_mosdac_GAJA_2018_0022_Depression.png,aa6040ca5738b7c07efb86a5bce73c4a09c3e61426805cfcf1e4e4399af049fa,c67030f772bbbc37661cae7b58e2b040428c9ad6f4e54d60a7dea0bc251e7854,35(1).jpeg,GAJA_2018,GAJA,2018,train,2018-11-10 06:00:00,2018-11-10 06:00:00,0.0,12.0,92.0,174.4,135.2,Mercator_Standard_Grid_Projection,46.3,km/h (3-minute sustained WMO/IMD standard),Depression,AUTHORITATIVE_BEST_TRACK_VMAX,shear_pattern,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0023,p7_mosdac_BULBUL_2019_0023_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_BULBUL_2019_0023_Very_Severe_Cyclonic_Storm.png,7e769ee006299f9f449039d455e40d6e608e8355aa6d09f9c2d6ca33002fb4dd,730f8d5fceec7c4dec8ebe9f4cff45896b192f970b136055cc79301a32ba0d89,35(2).jpeg,BULBUL_2019,BULBUL,2019,train,2019-04-25 21:00:00,2019-04-25 21:00:00,0.0,2.1,90.1,167.4,175.2,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0024,p7_mosdac_GULAB_2021_0024_Depression.png,data/p2_phase7_genuine/crops\p7_mosdac_GULAB_2021_0024_Depression.png,2e10a42b71503fe2297dce55c34d58a0ae68d961e9106ce15a60a50953c59090,94fb3663d5808aaedb85e920233b3832f4865926a50c537b88ed032740fa049a,35(3).jpeg,GULAB_2021,GULAB,2021,train,2021-04-02 03:00:00,2021-04-02 03:00:00,0.0,11.0,96.3,190.2,139.2,Mercator_Standard_Grid_Projection,46.3,km/h (3-minute sustained WMO/IMD standard),Depression,AUTHORITATIVE_BEST_TRACK_VMAX,shear_pattern,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0025,p7_mosdac_JAWAD_2021_0025_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_JAWAD_2021_0025_Very_Severe_Cyclonic_Storm.png,4cb1b3e3e04f4b3b010af8f49bbef84ad48e8853038c081cace44eeba28ec633,568f021e53b1f90f4dbcc74544c504fd793da1888da4ad80e38278577250f00d,35.jpeg,JAWAD_2021,JAWAD,2021,train,2021-11-30 21:00:00,2021-11-30 21:00:00,0.0,8.0,96.1,189.5,151.4,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0026,p7_mosdac_FENGAL_2024_0026_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_FENGAL_2024_0026_Very_Severe_Cyclonic_Storm.png,bd01f8ec920afdfad8df9ffad25bbef042361aeb6b8b7b45e018211632c46e61,1b3f44eb114b53e4df4af080a90c618519a75d02e3fc7159f1b10db5b424f8f3,36(1).jpeg,FENGAL_2024,FENGAL,2024,train,2024-11-23 21:00:00,2024-11-23 21:00:00,0.0,3.7,88.3,160.8,168.7,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0027,p7_mosdac_UNNAMED_2018_DD_0027_Depression.png,data/p2_phase7_genuine/crops\p7_mosdac_UNNAMED_2018_DD_0027_Depression.png,6fb5d008ee066fd8a132de71209a5835446cf27c33f28cebfd384b9d9eb2368c,9704af864db8f8e78ad80c34b3db2b4ce47ee095fd19fc7ee545214158e54063,36(2).jpeg,UNNAMED_2018_DD,UNNAMED,2018,train,2018-03-13 06:00:00,2018-03-13 06:00:00,0.0,5.5,75.8,114.9,161.4,Mercator_Standard_Grid_Projection,46.3,km/h (3-minute sustained WMO/IMD standard),Depression,AUTHORITATIVE_BEST_TRACK_VMAX,shear_pattern,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0028,p7_mosdac_UNNAMED_2019_D_0028_Depression.png,data/p2_phase7_genuine/crops\p7_mosdac_UNNAMED_2019_D_0028_Depression.png,f63c30d7a83b5ea0f8f1ea5e1cc6052b87c350d505b6f7392ae43a606673139b,26847bc327beb26e74a3839277da61e9b5e33e1479d35ef4b5fecc96e793d03a,36(3).jpeg,UNNAMED_2019_D,UNNAMED,2019,train,2019-08-06 06:00:00,2019-08-06 06:00:00,0.0,20.5,88.0,159.7,100.9,Mercator_Standard_Grid_Projection,46.3,km/h (3-minute sustained WMO/IMD standard),Depression,AUTHORITATIVE_BEST_TRACK_VMAX,shear_pattern,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0029,p7_mosdac_TAUKTAE_2021_0029_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_TAUKTAE_2021_0029_Very_Severe_Cyclonic_Storm.png,b125d287145e5861a8f74536a3539896f40344d90982579d185c6cc538a7581c,d7898a44a7104878e90f6de54f8a78f01912ae9dcbdb6908dbe89e7da147bd23,36.jpeg,TAUKTAE_2021,TAUKTAE,2021,val,2021-05-13 09:00:00,2021-05-13 09:00:00,0.0,10.1,71.1,97.7,142.9,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0030,p7_mosdac_YAAS_2021_0030_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_YAAS_2021_0030_Very_Severe_Cyclonic_Storm.png,a19ad5a3a83c8545f61f5f7bf6e02f89868c9780ebb6109e2992c28b1ecaba8b,3c521a56e9812464a121b0b50f71777765f8ff58fd526abb2d42859802084449,37.jpeg,YAAS_2021,YAAS,2021,val,2021-05-23 03:00:00,2021-05-23 03:00:00,0.0,15.4,89.9,166.7,121.5,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0031,p7_mosdac_SITRANG_2022_0031_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_SITRANG_2022_0031_Very_Severe_Cyclonic_Storm.png,a87c85260b2207641d78b507a03bb1f48eaddab722fbbac2e63f2ce413cd0174,6712a1d7d6de46e1bc15b794dfd8b36cf02c3a40742d9561df35cb1439e3bd28,38.jpeg,SITRANG_2022,SITRANG,2022,val,2022-10-21 21:00:00,2022-10-21 21:00:00,0.0,12.9,92.9,177.7,131.6,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
P7_MOSDAC_0032,p7_mosdac_KYARR_2019_0032_Very_Severe_Cyclonic_Storm.png,data/p2_phase7_genuine/crops\p7_mosdac_KYARR_2019_0032_Very_Severe_Cyclonic_Storm.png,431641b27d702773715a5a9004850b0132d337661bcf66ce2dc156407bd34b3a,42b709f3072a950b429d4c8c569a2f021f228b07bc4b73406b5b44de9749350d,39.jpeg,KYARR_2019,KYARR,2019,test,2019-04-25 21:00:00,2019-04-25 21:00:00,0.0,2.1,90.1,167.4,175.2,Mercator_Standard_Grid_Projection,120.0,km/h (3-minute sustained WMO/IMD standard),Very Severe Cyclonic Storm,AUTHORITATIVE_BEST_TRACK_VMAX,eye_visible,DERIVED_RULE,NOT_INDEPENDENTLY_ANNOTATED,GENUINE_RAW_SOURCE_VERIFIED,True
